HOW,INDEX,LABEL,X,Y,Z,CSA
VOLUME,NA,LABEL_1,-8.177001953125,16.1864013671875,-403.5,2285.383333333333
VOLUME,NA,LABEL_2,-8.177001953125,16.1864013671875,-403.5,1575.031746031746
VOLUME,NA,LABEL_3,-8.177001953125,16.1864013671875,-403.5,1560.046875
VOLUME,NA,LABEL_4,-8.177001953125,16.1864013671875,-403.5,714.8958333333334
VOLUME,NA,LABEL_5,-8.177001953125,16.1864013671875,-403.5,336.203125
VOLUME,NA,LABEL_6,-8.177001953125,16.1864013671875,-403.5,345.31666666666666
VOLUME,NA,LABEL_7,-8.177001953125,16.1864013671875,-403.5,832.3333333333334
VOLUME,NA,LABEL_8,-8.177001953125,16.1864013671875,-403.5,846.4
VOLUME,NA,LABEL_9,-8.177001953125,16.1864013671875,-403.5,755.0166666666667
VOLUME,NA,LABEL_10,-8.177001953125,16.1864013671875,-403.5,453.6279069767442
VOLUME,NA,LABEL_11,-8.177001953125,16.1864013671875,-403.5,1921.1041666666667
VOLUME,NA,LABEL_12,-8.177001953125,16.1864013671875,-403.5,656.125
VOLUME,NA,LABEL_13,-8.177001953125,16.1864013671875,-403.5,626.0625
VOLUME,NA,LABEL_14,-8.177001953125,16.1864013671875,-403.5,2471.410714285714
VOLUME,NA,LABEL_15,-8.177001953125,16.1864013671875,-403.5,1674.4920634920634
VOLUME,NA,LABEL_16,-8.177001953125,16.1864013671875,-403.5,1637.140625
VOLUME,NA,LABEL_17,-8.177001953125,16.1864013671875,-403.5,782.4893617021277
VOLUME,NA,LABEL_18,-8.177001953125,16.1864013671875,-403.5,314.171875
VOLUME,NA,LABEL_19,-8.177001953125,16.1864013671875,-403.5,327.7931034482759
VOLUME,NA,LABEL_20,-8.177001953125,16.1864013671875,-403.5,637.08
VOLUME,NA,LABEL_21,-8.177001953125,16.1864013671875,-403.5,933.3953488372093
VOLUME,NA,LABEL_22,-8.177001953125,16.1864013671875,-403.5,879.6
VOLUME,NA,LABEL_23,-8.177001953125,16.1864013671875,-403.5,433.95348837209303
VOLUME,NA,LABEL_24,-8.177001953125,16.1864013671875,-403.5,1641.2549019607843
VOLUME,NA,LABEL_25,-8.177001953125,16.1864013671875,-403.5,732.030303030303
VOLUME,NA,LABEL_26,-8.177001953125,16.1864013671875,-403.5,529.5882352941177
